FO;;.FAROE ISLANDS;;;;;;;;
FO;FAE;Færøø Islands-Vagar Apt;Faroo Islands-Vagar Apt;;---4----;AI;9601;;;
FO;FUG;Fuglafjørdur;Fuglafjordur;;1-------;RL;0701;;;@Sta
FO;;Fuglefjord = Fuglafirdi;Fuglefjord = Fuglafirdi;;;;;;;
FO;HUS;Husevig;Husevig;;1-------;RL;8401;;;
FO;KVI;Klaksvik;Klaksvik;;1-------;RL;8401;;;
FO;KOL;Kollafjördur;Kollafjordur;;1-3-----;RL;0501;;6207N 00653W;
FO;LOP;Lopra;Lopra;;1-------;RQ;9506;;;
FO;NSK;Norÿskáli;Noryskali;;1-------;RL;0401;;6213N 00700W;
FO;RVK;Runavík;Runavik;;1-3-----;RL;0701;;6207N 00643W;
FO;SMJ;Solmundefjord;Solmundefjord;;1-------;RQ;9012;;;
FO;SRV;Sorvágur;Sorvagur;;1-------;RL;0212;;6204N 00718W;
FO;THO;Thorshavn;Thorshavn;;1-------;RL;0201;;6201N 00646W;
FO;TVO;Tvoroyri;Tvoroyri;;1-------;RL;0212;;6133N 00648W;
FO;VID;Vadair;Vadair;;1-------;RQ;9012;;;
FO;VAG;Vágur;Vagur;;1-3-----;RL;0207;;6128N 00649W;
FO;VAZ;Vágur;Vagur;;--3-----;RL;0201;;6213N 00635W;
FO;VES;Vestmanhavn;Vestmanhavn;;1-------;RL;8401;;;
